monster_id,monster_name,drop_kind,item_id,item_name,item_category,item_type,item_level,probability,probability_text,condition,item_url,item_image_url
2385,Abrakadnuzar,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
2385,Abrakadnuzar,conditioned,1661,Ambramulette Moskito,equipements,,40,0.09,0.09 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/1661-ambramulette-moskito,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/1017.w48h48.png
2385,Abrakadnuzar,conditioned,1486,Médaille Holy,equipements,,31,0.09,0.09 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/1486-medaille-holy,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/1023.w48h48.png
2388,Abrakanette l'Encapsulé,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
2388,Abrakanette l'Encapsulé,normal,1612,Racine d'Abraknyde Sombre,ressources,,86,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1612-racine-abraknyde-sombre,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/98232.w48h48.png
2388,Abrakanette l'Encapsulé,normal,926,Bois Envoûté,ressources,,85,8.0,8 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/926-bois-envoute,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/38140.w48h48.png
2388,Abrakanette l'Encapsulé,conditioned,6440,Baguette Velue,armes,,95,0.07,0.07 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/armes/6440-baguette-velue,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/3031.w48h48.png
2388,Abrakanette l'Encapsulé,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
2389,Abrakildas le Vénérable,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
2389,Abrakildas le Vénérable,normal,926,Bois Envoûté,ressources,,85,8.0,8 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/926-bois-envoute,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/38140.w48h48.png
2389,Abrakildas le Vénérable,normal,437,Bourgeon d'Abraknyde Vénérable,ressources,,84,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/437-bourgeon-abraknyde-venerable,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/108104.w48h48.png
2389,Abrakildas le Vénérable,conditioned,7194,Arc Anum,armes,,96,0.07,0.07 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/armes/7194-arc-anum,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/2049.w48h48.png
2389,Abrakildas le Vénérable,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
2544,Abrakine le Sombre,normal,8785,Graine sombre,ressources,,115,7.0,7 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/8785-graine-sombre,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/58001.w48h48.png
2544,Abrakine le Sombre,normal,8784,Talon d'achille de l'Abrakleur sombre,ressources,,135,12.0,12 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/8784-talon-achille-abrakleur-sombre,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15019.w48h48.png
2544,Abrakine le Sombre,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
2544,Abrakine le Sombre,conditioned,8869,Bottines en bois d'abrakleur,equipements,,136,0.04,0.04 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/8869-bottines-bois-abrakleur,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/11114.w48h48.png
2544,Abrakine le Sombre,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
2386,Abraklette le Fondant,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
2386,Abraklette le Fondant,normal,1660,Ambre Sombre,ressources,,88,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1660-ambre-sombre,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/50638.w48h48.png
2386,Abraklette le Fondant,normal,926,Bois Envoûté,ressources,,85,8.0,8 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/926-bois-envoute,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/38140.w48h48.png
2386,Abraklette le Fondant,normal,544,Pierre d'Émeraude,ressources,,30,2.0,2 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/544-pierre-emeraude,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/51145.w48h48.png
2386,Abraklette le Fondant,conditioned,7002,La Résinette,equipements,,94,0.07,0.07 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/7002-resinette,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/1085.w48h48.png
2386,Abraklette le Fondant,conditioned,6454,Abraton Sombre,armes,,87,0.07,0.07 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/armes/6454-abraton-sombre,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4023.w48h48.png
2386,Abraklette le Fondant,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
1047,Abrakleur Clair,normal,8832,Bave gluante,ressources,,154,7.0,7 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/8832-bave-gluante,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15006.w48h48.png
1047,Abrakleur Clair,normal,8797,Souche de l'Abrakleur clair,ressources,,156,11.0,11 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/8797-souche-abrakleur-clair,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/38003.w48h48.png
1047,Abrakleur Clair,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
1047,Abrakleur Clair,conditioned,11611,Slip Hie,equipements,,153,0.03,0.03 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/11611-slip-hie,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/10180.w48h48.png
1047,Abrakleur Clair,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
1077,Abrakleur Sombre,normal,8785,Graine sombre,ressources,,115,7.0,7 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/8785-graine-sombre,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/58001.w48h48.png
1077,Abrakleur Sombre,normal,8784,Talon d'achille de l'Abrakleur sombre,ressources,,135,12.0,12 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/8784-talon-achille-abrakleur-sombre,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15019.w48h48.png
1077,Abrakleur Sombre,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
1077,Abrakleur Sombre,conditioned,8869,Bottines en bois d'abrakleur,equipements,,136,0.04,0.04 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/8869-bottines-bois-abrakleur,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/11114.w48h48.png
1077,Abrakleur Sombre,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
650,Abrakne,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
650,Abrakne,normal,792,Sève d'Abraknyde,ressources,,44,9.0,9 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/792-seve-abraknyde,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15162.w48h48.png
650,Abrakne,normal,463,Ambre,ressources,,43,19.0,19 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/463-ambre,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/50096.w48h48.png
650,Abrakne,conditioned,17518,Abranneau,equipements,,40,0.09,0.09 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/17518-abranneau,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/9011.w48h48.png
650,Abrakne,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
650,Abrakne,conditioned,1661,Ambramulette Moskito,equipements,,40,0.09,0.09 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/1661-ambramulette-moskito,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/1017.w48h48.png
650,Abrakne,conditioned,1486,Médaille Holy,equipements,,31,0.09,0.09 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/1486-medaille-holy,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/1023.w48h48.png
651,Abrakne Sombre,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
651,Abrakne Sombre,normal,1660,Ambre Sombre,ressources,,88,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1660-ambre-sombre,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/50638.w48h48.png
651,Abrakne Sombre,normal,926,Bois Envoûté,ressources,,85,8.0,8 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/926-bois-envoute,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/38140.w48h48.png
651,Abrakne Sombre,normal,544,Pierre d'Émeraude,ressources,,30,2.0,2 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/544-pierre-emeraude,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/51145.w48h48.png
651,Abrakne Sombre,conditioned,13336,Graines de Citwouille Maudites,ressources,,100,10.0,10 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/13336-graines-citwouille-maudites,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/58012.w48h48.png
651,Abrakne Sombre,conditioned,7002,La Résinette,equipements,,94,0.07,0.07 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/7002-resinette,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/1085.w48h48.png
651,Abrakne Sombre,conditioned,6454,Abraton Sombre,armes,,87,0.07,0.07 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/armes/6454-abraton-sombre,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4023.w48h48.png
651,Abrakne Sombre,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
992,Abrakne Sombre Irascible,normal,20003,Écorce d'Abrakne Sombre Irascible,ressources,,132,12.0,12 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/20003-ecorce-abrakne-sombre-irascible,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/96231.w48h48.png
992,Abrakne Sombre Irascible,normal,1985,Résine végétale,ressources,,33,20.0,20 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
992,Abrakne Sombre Irascible,normal,926,Bois Envoûté,ressources,,85,7.0,7 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/926-bois-envoute,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/38140.w48h48.png
992,Abrakne Sombre Irascible,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
47,Abraknyde,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
47,Abraknyde,normal,792,Sève d'Abraknyde,ressources,,44,9.0,9 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/792-seve-abraknyde,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15162.w48h48.png
47,Abraknyde,normal,435,Racine d'Abraknyde,ressources,,43,19.0,19 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/435-racine-abraknyde,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/98102.w48h48.png
47,Abraknyde,conditioned,10664,Abragland,consommables,,33,1.0,1 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/consommables/10664-abragland,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/94015.w48h48.png
47,Abraknyde,conditioned,2413,Abracapa,equipements,,45,0.09,0.09 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/2413-abracapa,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/17043.w48h48.png
47,Abraknyde,conditioned,2410,Abracaska,equipements,,46,0.09,0.09 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/2410-abracaska,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/16040.w48h48.png
47,Abraknyde,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
47,Abraknyde,conditioned,1619,L'Abramu,equipements,,46,0.09,0.09 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/1619-abramu,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/1016.w48h48.png
173,Abraknyde Ancestral,normal,8495,Bourgeon de l'Abraknyde Ancestral,ressources,,90,5.0,5 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/8495-bourgeon-abraknyde-ancestral,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/108755.w48h48.png
173,Abraknyde Ancestral,normal,7557,Clef du Donjon des Abraknydes,ressources,,90,5.0,5 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/7557-clef-donjon-abraknydes,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/84004.w48h48.png
173,Abraknyde Ancestral,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
173,Abraknyde Ancestral,normal,918,Ambre Ancestral,ressources,,90,10.0,10 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/918-ambre-ancestral,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/50108.w48h48.png
173,Abraknyde Ancestral,conditioned,14693,Hormone d'Abra Kadabra,ressources,,1,5.0,5 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/14693-hormone-abra-kadabra,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/48682.w48h48.png
173,Abraknyde Ancestral,conditioned,13526,Barre Rabmarac au Nougat,consommables,,1,5.0,5 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/consommables/13526-barre-rabmarac-nougat,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/42172.w48h48.png
173,Abraknyde Ancestral,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
2771,Abraknyde invoqué,normal,792,Sève d'Abraknyde,ressources,,44,9.0,9 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/792-seve-abraknyde,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15162.w48h48.png
2771,Abraknyde invoqué,normal,435,Racine d'Abraknyde,ressources,,43,19.0,19 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/435-racine-abraknyde,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/98102.w48h48.png
2771,Abraknyde invoqué,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
989,Abraknyde Irascible,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
989,Abraknyde Irascible,normal,792,Sève d'Abraknyde,ressources,,44,9.0,9 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/792-seve-abraknyde,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15162.w48h48.png
989,Abraknyde Irascible,normal,435,Racine d'Abraknyde,ressources,,43,19.0,19 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/435-racine-abraknyde,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/98102.w48h48.png
989,Abraknyde Irascible,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
253,Abraknyde Sombre,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
253,Abraknyde Sombre,normal,1612,Racine d'Abraknyde Sombre,ressources,,86,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1612-racine-abraknyde-sombre,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/98232.w48h48.png
253,Abraknyde Sombre,normal,926,Bois Envoûté,ressources,,85,8.0,8 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/926-bois-envoute,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/38140.w48h48.png
253,Abraknyde Sombre,conditioned,13336,Graines de Citwouille Maudites,ressources,,100,10.0,10 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/13336-graines-citwouille-maudites,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/58012.w48h48.png
253,Abraknyde Sombre,conditioned,6440,Baguette Velue,armes,,95,0.07,0.07 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/armes/6440-baguette-velue,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/3031.w48h48.png
253,Abraknyde Sombre,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
991,Abraknyde Sombre Irascible,normal,13528,Bourgeon d'Abraknyde Sombre Irascible,ressources,,126,12.0,12 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/13528-bourgeon-abraknyde-sombre-irascible,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/108230.w48h48.png
991,Abraknyde Sombre Irascible,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
991,Abraknyde Sombre Irascible,normal,926,Bois Envoûté,ressources,,85,7.0,7 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/926-bois-envoute,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/38140.w48h48.png
991,Abraknyde Sombre Irascible,conditioned,8569,Doro le Blak,equipements,,129,0.04,0.04 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/equipements/8569-doro-blak,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/16172.w48h48.png
991,Abraknyde Sombre Irascible,conditioned,1985,Résine végétale,ressources,,33,100.0,100 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
254,Abraknyde Vénérable,normal,1985,Résine végétale,ressources,,33,15.0,15 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/1985-resine-vegetale,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15382.w48h48.png
254,Abraknyde Vénérable,normal,926,Bois Envoûté,ressources,,85,8.0,8 %,,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/ressources/926-bois-envoute,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/38140.w48h48.png
