monster_id,monster_slug,name,type,level,pv_min,pv_max,zones,res_neutral_min,res_neutral_max,res_earth_min,res_earth_max,res_fire_min,res_fire_max,res_water_min,res_water_max,res_air_min,res_air_max,image_url,url
2309,abrakroc-edente,Abrakroc l'édenté,Archi-monstres,38,890,1400,,14,30,15,35,-10,6,15,35,-10,6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2309.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2309-abrakroc-edente
2898,abrazif,Abrazif,Monstres de la Forêt pétrifiée,175,4900,5200,La forêt pétrifiée,3,7,64,68,20,24,-41,-37,15,19,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2898.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2898-abrazif
2381,abrinos-clair,Abrinos le Clair,Archi-monstres,150,6900,7800,,15,23,45,53,5,9,11,15,-33,-25,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2381.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2381-abrinos-clair
446,aermyne-braco-scalptaras,Aermyne 'Braco' Scalptaras,Avis de recherche,70,3000,3000,Forêt de Cania,60,60,-20,-20,30,30,10,10,20,20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/446.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/446-aermyne-braco-scalptaras
894,aerohouctor-guerrier,Aerohouctor le Guerrier,Dragoeufs,80,1200,1700,Souterrains des Dragoeufs,20,28,-20,-12,-20,-12,-20,-12,60,68,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/894.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/894-aerohouctor-guerrier
904,aerotrugobur-malveillant,Aerotrugobur le Malveillant,Dragoeufs,114,2200,2600,Souterrains des Dragoeufs,50,58,-20,-12,-20,-12,-20,-12,60,68,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/904.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/904-aerotrugobur-malveillant
250,aiguille,Aiguille,Invocations de classe,1,9,70,,0,0,0,0,0,0,0,0,0,0,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/250.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/250-aiguille
3936,akakwa,Akakwa,Kwapa,162,3900,4200,Akwadala,20,24,-10,-6,11,15,0,0,15,19,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/3936.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/3936-akakwa
4008,akakwa-agressif,Akakwa agressif,Monstres de Quête de Pandala,162,4500,4500,,20,20,10,10,11,11,10,10,15,15,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4008.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4008-akakwa-agressif
3786,alhyene,Alhyène,Kanigs,128,2700,2900,Territoire des Kanigs,21,25,11,15,-9,-5,-4,0,11,15,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/3786.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/3786-alhyene
3675,ali-grothor,Ali Grothor,Avis de recherche,170,13000,13000,Cité d'Orado,20,20,10,10,30,30,-15,-15,25,25,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/3675.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/3675-ali-grothor
4062,ame-aerienne-fusion,Âme aérienne en fusion,Corindontes d'Air,200,12000,12000,,20,20,20,20,-20,-20,20,20,60,60,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4062.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4062-ame-aerienne-fusion
4090,ame-aquatique-fusion,Âme aquatique en fusion,Corindontes d'Eau,200,12000,12000,,20,20,-20,-20,20,20,60,60,20,20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4090.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4090-ame-aquatique-fusion
4106,ame-incandescente-fusion,Âme incandescente en fusion,Corindontes de Feu,200,12000,12000,,20,20,20,20,60,60,-20,-20,20,20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4106.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4106-ame-incandescente-fusion
4116,ame-terrestre-fusion,Âme terrestre en fusion,Corindontes de Terre,200,12000,12000,,20,20,60,60,20,20,20,20,-20,-20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4116.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4116-ame-terrestre-fusion
2391,ameur-laide,Ameur la Laide,Archi-monstres,35,650,1000,,15,27,15,27,15,27,15,27,15,27,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2391.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2391-ameur-laide
385,amlub,Amlub,Monstres du Village des Dopeuls,35,320,520,Entraînement des Dopeuls | Village des Dopeuls,5,17,5,17,5,17,5,17,5,17,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/385.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/385-amlub
3668,ancrocodaille,Ancrocodaille,Kailleux,162,4300,4600,Cité d'Orado,20,20,-25,-25,10,10,13,13,22,22,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/3668.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/3668-ancrocodaille
2861,aperiglours,Apériglours,Gloursons,185,4800,5400,Le Mont Torrideau | Ruche des Gloursons,5,9,17,21,70,74,10,14,-44,-40,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2861.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2861-aperiglours
475,apprenti-ratmane,Apprenti Ratmane,Monstre des égouts,17,100,140,Souterrains profonds d'Astrub | Égouts d'Astrub,-15,-7,1,9,-10,-2,0,8,-6,2,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/475.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/475-apprenti-ratmane
895,aquabralak-guerrier,Aquabralak le Guerrier,Dragoeufs,80,1200,1700,Souterrains des Dragoeufs,20,28,-20,-12,-20,-12,60,68,-30,-22,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/895.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/895-aquabralak-guerrier
877,aqualikros-impitoyable,Aqualikros l'Impitoyable,Dragoeufs,114,2200,2600,Souterrains des Dragoeufs,50,58,-20,-12,-20,-12,60,68,-20,-12,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/877.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/877-aqualikros-impitoyable
2311,arabord-cruche,Arabord la Cruche,Archi-monstres,40,800,1100,,-4,0,-4,0,20,24,20,24,-4,0,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2311.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2311-arabord-cruche
2312,arachitik-souffreteuse,Arachitik la Souffreteuse,Archi-monstres,19,240,330,,-10,-2,0,8,-6,2,-15,-7,1,9,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2312.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2312-arachitik-souffreteuse
4346,arakazam-psychique,Arakazam la Psychique,Archi-monstres,132,3900,5600,,-10,-6,20,24,30,34,-10,-6,10,14,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4346.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4346-arakazam-psychique
4314,arakmutee,Arakmutée,Arak-haï,132,2800,3100,La Forêt Maléfique,-10,-6,20,24,30,34,-10,-6,10,14,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4314.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4314-arakmutee
2393,araknay-galopante,Araknay la Galopante,Archi-monstres,14,150,220,,11,15,10,10,11,15,11,15,5,9,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2393.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2393-araknay-galopante
52,arakne,Arakne,Araknes,51,480,540,La forêt d'Amakna | Forêt d'Astrub,2,6,8,12,-1,3,-10,-6,-4,0,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/52.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/52-arakne
255,arakne-agressive,Arakne Agressive,Araknes,14,72,110,La forêt d'Amakna | Bord de la forêt maléfique | La Millifutaie | Sous-sol de la Bibliothèque,1,5,0,0,1,5,1,5,-5,-1,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/255.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/255-arakne-agressive
3534,arakne-celeste,Arakne Céleste,Gardiens des Tanières,75,1300,1300,,18,18,18,18,18,18,18,18,18,18,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/3534.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/3534-arakne-celeste
157,araknelle,Araknelle,Araknes,2,49,49,,0,0,0,0,0,0,0,0,0,0,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/157.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/157-araknelle
259,arakne-majeure,Arakne Majeure,Araknes,40,400,540,Égouts de Bonta | Le marécage | Égouts de Brâkmar | Marécages sans fond | Orée de la forêt des Abraknydes,-14,-10,-14,-10,10,14,10,14,-14,-10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/259.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/259-arakne-majeure
2630,arakne-majeure,Arakne Majeure,Invocations de classe,1,160,220,,-14,-10,-14,-10,15,20,20,25,-14,-10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2630.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2630-arakne-majeure
474,arakne-malade,Arakne Malade,Araknes,19,120,160,Égouts d'Astrub | Souterrains profonds d'Astrub,-10,-2,0,8,-6,2,-15,-7,1,9,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/474.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/474-arakne-malade
3533,arakne-sombre,Arakne Sombre,Gardiens des Tanières,70,1200,1200,,15,15,15,15,15,15,15,15,15,15,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/3533.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/3533-arakne-sombre
917,araknotron,Araknotron,Abraknydiens,76,1100,1400,Forêt des Abraknydes,10,14,-10,-6,15,19,5,9,10,14,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/917.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/917-araknotron
990,araknotron-irascible,Araknotron Irascible,Abraknydiens,124,2500,2900,Forêt des Abraknydes Sombres,10,18,-19,-15,15,19,-19,-15,15,19,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/990.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/990-araknotron-irascible
2310,arakule-revancharde,Arakule la Revancharde,Archi-monstres,51,890,1000,,2,6,8,12,-1,3,-10,-6,-4,0,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2310.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2310-arakule-revancharde
4322,arapex,Arapex,Arak-haï,130,2700,3000,La Forêt Maléfique,10,14,30,34,-10,-6,20,24,-10,-6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4322.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4322-arapex
4354,araplike-calligraphe,Arapliké la Calligraphe,Archi-monstres,130,3800,5400,,10,14,30,34,-10,-6,20,24,-10,-6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4354.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4354-araplike-calligraphe
3344,arbre-collant,Arbre Collant,Abraknydiens,1,300,300,,20,60,20,60,-50,-10,10,50,10,50,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/3344.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/3344-arbre-collant
2750,arbre-vie,Arbre de vie,Invocations de classe,1,99,400,,70,70,10,20,10,20,60,60,10,20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2750.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2750-arbre-vie
2976,ashi-magari,Ashi-magari,Fantômes,1,150,170,,0,0,0,0,0,0,0,0,0,0,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2976.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2976-ashi-magari
3661,assaillant-crocodaille,Assaillant crocodaille,Monstres de Quête d'Orado,100,1800,2000,,10,10,15,15,55,55,40,40,25,25,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/3661.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/3661-assaillant-crocodaille
3664,assaillant-crocodaille,Assaillant crocodaille,Monstres de Quête d'Orado,100,1800,2000,,10,10,15,15,55,55,40,40,25,25,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/3664.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/3664-assaillant-crocodaille
3665,assaillant-crocodaille,Assaillant crocodaille,Monstres de Quête d'Orado,100,1800,2000,,10,10,15,15,55,55,40,40,25,25,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/3665.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/3665-assaillant-crocodaille
3666,assaillant-crocodaille,Assaillant crocodaille,Monstres de Quête d'Orado,100,1800,2000,,10,10,15,15,55,55,40,40,25,25,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/3666.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/3666-assaillant-crocodaille
2866,atomystique,Atomystique,Monstres des Larmes d'Ouronigride,152,3500,3800,Les larmes d'Ouronigride,12,16,20,24,35,39,19,23,-30,-26,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2866.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2866-atomystique
4589,atomystique,Atomystique,Monstres de Quête diverses,152,3500,3800,,12,16,20,24,35,39,19,23,-30,-26,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4589.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4589-atomystique
4033,balise-tactique,Balise Tactique,Invocations Crâ,1,30,400,,0,0,0,0,0,0,0,0,0,0,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4033.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4033-balise-tactique
1232,ballotin-bouftou,Ballotin le Bouftou,Bouftous,13,77,220,,0,0,0,0,0,0,0,0,0,0,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/1232.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/1232-ballotin-bouftou
4211,balours,Balours,Créatures de la forêt,5,46,80,Forêt d'Albuera - Zone Solo,0,0,0,0,0,0,0,0,0,0,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4211.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4211-balours
3964,bambouto,Bambouto,Plantalas,201,6300,6700,Plantala,13,17,5,9,17,21,-10,-6,20,24,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/3964.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/3964-bambouto
2313,bandapar-exclu,Bandapar l'Exclu,Archi-monstres,22,300,500,,3,7,14,18,3,7,15,19,15,19,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2313.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2313-bandapar-exclu
155,bandit-clan-roublards,Bandit du clan des Roublards,Bandits,37,390,610,Territoire des Bandits,0,0,0,0,0,0,0,0,0,0,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/155.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/155-bandit-clan-roublards
466,bandit-manchot,Bandit Manchot,Bandits,22,200,300,Passage vers Brâkmar | La Millifutaie,-7,-3,4,8,-7,-3,5,9,5,9,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/466.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/466-bandit-manchot
2314,bandson-tonitruant,Bandson le Tonitruant,Archi-monstres,37,780,1200,,10,10,10,10,10,10,10,10,10,10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2314.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2314-bandson-tonitruant
1049,barbroussa,Barbroussa,Monstres de l'Arche d'Otomaï,52,610,1200,L'arche d'Otomaï,5,13,-26,-22,-18,-10,35,43,10,18,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/1049.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/1049-barbroussa
4559,barbroussa,Barbroussa,Monstres de Quête diverses,52,610,1200,,5,13,-26,-22,-18,-10,35,43,10,18,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/4559.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/4559-barbroussa
2417,barchwork-multicolore,Barchwork le Multicolore,Archi-monstres,37,780,1200,,10,10,-5,-1,15,15,10,10,10,10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2417.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2417-barchwork-multicolore
2545,barebourd-comte,Barebourd le Comte,Archi-monstres,52,1200,2500,,15,23,-16,-12,-8,0,45,53,20,28,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/2545.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/2545-barebourd-comte
800,batofu,Batofu,Tofus,40,1000,1000,,14,14,9,9,-25,-25,-15,-15,37,37,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/800.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/800-batofu
890,bebe-cadob,Bébé Cadob,Monstres de Nowel,1,1000,1000,,10,90,10,90,10,90,10,90,10,90,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/monsters/200/890.png,https://www.dofus-touch.com/fr/mmorpg/encyclopedie/monstres/890-bebe-cadob
