category,nom,type,niveau,original_image_url,local_url
armes,Dagues Açantes,Dague,Niv. 183,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5080.w40h40.png,images/5080.w40h40.png
armes,Arc à Lamelles,Arc,Niv. 183,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/2061.w40h40.png,images/2061.w40h40.png
armes,Az'tech,Épée,Niv. 182,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6079.w40h40.png,images/6079.w40h40.png
armes,Lame Assacre,Dague,Niv. 182,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5070.w40h40.png,images/5070.w40h40.png
armes,Pelle Vétik,Pelle,Niv. 181,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/8061.w40h40.png,images/8061.w40h40.png
armes,Kwache,Hache,Niv. 180,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171514.w40h40.png,images/171514.w40h40.png
armes,Ougarteau,Marteau,Niv. 180,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7067.w40h40.png,images/7067.w40h40.png
armes,Kukri Kura,Épée,Niv. 179,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6080.w40h40.png,images/6080.w40h40.png
armes,Marteau Minokers,Marteau,Niv. 178,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7062.w40h40.png,images/7062.w40h40.png
armes,Pelle Dorado,Pelle,Niv. 178,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/8058.w40h40.png,images/8058.w40h40.png
armes,Epée Kadille,Épée,Niv. 177,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6107.w40h40.png,images/6107.w40h40.png
armes,Baguette Nolog,Baguette,Niv. 177,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/3075.w40h40.png,images/3075.w40h40.png
armes,L'Épée Nice,Épée,Niv. 177,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6076.w40h40.png,images/6076.w40h40.png
armes,Rod Gerse,Bâton,Niv. 176,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4059.w40h40.png,images/4059.w40h40.png
armes,Hache à Lamelles,Hache,Niv. 176,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19051.w40h40.png,images/19051.w40h40.png
armes,Dagues Imauve,Dague,Niv. 176,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5079.w40h40.png,images/5079.w40h40.png
armes,Dague Adou,Dague,Niv. 175,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5065.w40h40.png,images/5065.w40h40.png
armes,Arc Ontanporin,Arc,Niv. 175,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/2072.w40h40.png,images/2072.w40h40.png
armes,Baguette Bainkuite,Baguette,Niv. 175,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171516.w40h40.png,images/171516.w40h40.png
armes,Arc de Guten Tak,Arc,Niv. 173,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/2074.w40h40.png,images/2074.w40h40.png
armes,Marteau Racle,Marteau,Niv. 173,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7079.w40h40.png,images/7079.w40h40.png
armes,Le Thanos,Bâton,Niv. 172,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4101.w40h40.png,images/4101.w40h40.png
armes,La Bêche à Mel,Pelle,Niv. 172,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/8048.w40h40.png,images/8048.w40h40.png
armes,Baguette du Chêne Mou,Baguette,Niv. 172,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/3042.w40h40.png,images/3042.w40h40.png
armes,Dagues Eudin,Dague,Niv. 171,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5066.w40h40.png,images/5066.w40h40.png
armes,Hache Achinecride,Hache,Niv. 170,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19062.w40h40.png,images/19062.w40h40.png
armes,Lance Horselé,Bâton,Niv. 170,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171027.w40h40.png,images/171027.w40h40.png
armes,Bâton des Prophètes,Bâton,Niv. 169,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4105.w40h40.png,images/4105.w40h40.png
armes,L'Epée Rilleuse,Épée,Niv. 169,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6066.w40h40.png,images/6066.w40h40.png
armes,Baguette Héroclite,Baguette,Niv. 168,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171026.w40h40.png,images/171026.w40h40.png
armes,Arc Tangente,Arc,Niv. 167,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/2069.w40h40.png,images/2069.w40h40.png
armes,Marteau R'Gnole,Marteau,Niv. 166,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7077.w40h40.png,images/7077.w40h40.png
armes,Canne Hassukre,Bâton,Niv. 165,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4111.w40h40.png,images/4111.w40h40.png
armes,Épée du saigneur de vampires,Épée,Niv. 165,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170643.w40h40.png,images/170643.w40h40.png
armes,Canne Hassukre Édulcorée,Bâton,Niv. 165,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4111.w40h40.png,images/4111.w40h40.png
armes,Youyettes,Dague,Niv. 164,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5077.w40h40.png,images/5077.w40h40.png
armes,Fuschia,Épée,Niv. 163,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6078.w40h40.png,images/6078.w40h40.png
armes,Baguette Hernuement,Baguette,Niv. 163,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/3074.w40h40.png,images/3074.w40h40.png
armes,Hache Sueur Rance,Hache,Niv. 162,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19049.w40h40.png,images/19049.w40h40.png
armes,Bâton K'Tueuh,Bâton,Niv. 161,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4097.w40h40.png,images/4097.w40h40.png
armes,Karnak,Épée,Niv. 158,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6060.w40h40.png,images/6060.w40h40.png
armes,Hache Harnée,Hache,Niv. 158,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19050.w40h40.png,images/19050.w40h40.png
armes,Bâton du Maître Zoth,Bâton,Niv. 158,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4076.w40h40.png,images/4076.w40h40.png
armes,Dagues Ruik,Dague,Niv. 158,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5067.w40h40.png,images/5067.w40h40.png
armes,Marteau de la Vigie Pirate,Marteau,Niv. 156,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7076.w40h40.png,images/7076.w40h40.png
armes,Pelle Aigante,Pelle,Niv. 156,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/8050.w40h40.png,images/8050.w40h40.png
armes,Hache Haimenu,Hache,Niv. 154,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19059.w40h40.png,images/19059.w40h40.png
armes,Bâton du Harpirate,Bâton,Niv. 154,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4096.w40h40.png,images/4096.w40h40.png
armes,Hache du Fancrôme,Hache,Niv. 153,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19060.w40h40.png,images/19060.w40h40.png
armes,Sabre de Ben le Ripate,Épée,Niv. 152,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6100.w40h40.png,images/6100.w40h40.png
armes,Marteau du Juge Lou,Marteau,Niv. 152,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7729.w40h40.png,images/7729.w40h40.png
armes,Sceptre du Minotot,Bâton,Niv. 151,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4067.w40h40.png,images/4067.w40h40.png
armes,Arc à Chon,Arc,Niv. 151,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/2059.w40h40.png,images/2059.w40h40.png
armes,Marteau Bleuronne,Marteau,Niv. 150,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7053.w40h40.png,images/7053.w40h40.png
armes,Dagues Lassay,Dague,Niv. 150,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5044.w40h40.png,images/5044.w40h40.png
armes,Kriss Toubal,Dague,Niv. 149,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5068.w40h40.png,images/5068.w40h40.png
armes,Baguette de Frigostine,Baguette,Niv. 149,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/3078.w40h40.png,images/3078.w40h40.png
armes,Pelle Tonedjone,Pelle,Niv. 147,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/8057.w40h40.png,images/8057.w40h40.png
armes,La Xyothine,Baguette,Niv. 145,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/3053.w40h40.png,images/3053.w40h40.png
armes,Sabre Heutelle,Épée,Niv. 145,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6101.w40h40.png,images/6101.w40h40.png
armes,Griffe Pourpre,Épée,Niv. 145,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6072.w40h40.png,images/6072.w40h40.png
armes,Racine de Floribonde,Bâton,Niv. 144,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4079.w40h40.png,images/4079.w40h40.png
armes,Dagues Réceuses,Dague,Niv. 143,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5047.w40h40.png,images/5047.w40h40.png
armes,Marteau Lahre,Marteau,Niv. 143,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7047.w40h40.png,images/7047.w40h40.png
armes,Le Sabre Ayassalama,Épée,Niv. 143,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6067.w40h40.png,images/6067.w40h40.png
armes,Glaive tiède,Épée,Niv. 143,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170733.w40h40.png,images/170733.w40h40.png
armes,Arc Hisedaisange,Arc,Niv. 143,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/2048.w40h40.png,images/2048.w40h40.png
armes,Racine Cithi,Bâton,Niv. 143,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4053.w40h40.png,images/4053.w40h40.png
armes,Pelle Rhon,Pelle,Niv. 142,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/8041.w40h40.png,images/8041.w40h40.png
armes,Bâton du Chêne Mou,Bâton,Niv. 140,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170636.w40h40.png,images/170636.w40h40.png
armes,Marteau Mawoque,Marteau,Niv. 140,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7056.w40h40.png,images/7056.w40h40.png
armes,Hache du Guerrier Zoth,Hache,Niv. 139,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19047.w40h40.png,images/19047.w40h40.png
armes,Baguette Iots,Baguette,Niv. 138,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/3057.w40h40.png,images/3057.w40h40.png
armes,Racine de Fécorce,Bâton,Niv. 138,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4078.w40h40.png,images/4078.w40h40.png
armes,Poolache,Hache,Niv. 137,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/19048.w40h40.png,images/19048.w40h40.png
armes,Pelle Shattkitou,Pelle,Niv. 137,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/8049.w40h40.png,images/8049.w40h40.png
armes,Marteau Pinière,Marteau,Niv. 135,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7052.w40h40.png,images/7052.w40h40.png
armes,Les Dagues du Bouwin,Dague,Niv. 135,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/5056.w40h40.png,images/5056.w40h40.png
armes,Glaive Icération,Épée,Niv. 135,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/6063.w40h40.png,images/6063.w40h40.png
armes,La Canne Bière,Bâton,Niv. 134,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/4065.w40h40.png,images/4065.w40h40.png
armes,Baguette du Grand Glucid,Baguette,Niv. 134,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/3079.w40h40.png,images/3079.w40h40.png
armes,Branche de l'Abrakleur clair,Baguette,Niv. 132,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/3065.w40h40.png,images/3065.w40h40.png
armes,Marteau de la Gamine Zoth,Marteau,Niv. 132,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/7064.w40h40.png,images/7064.w40h40.png
armes,Pelle à Gâteau,Pelle,Niv. 131,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/8043.w40h40.png,images/8043.w40h40.png
